SANIDAD,NACIONALISMO,EDUCACIÓN,VIOLENCIA,FEMINISMO,CORRUPCIÓN,FAMILIA,JUSTICIA y LIBERTAD,CULTURA,ECONOMÍA,TRABAJADORES,JUVENTUD,MEDIO AMBIENTE,SISTEMA DEL BIENESTAR,IDEOLOGIAS RADICALES,VALORES A ENSALZAR,GRUPO,RELIGION,AGRAVIOS,SISTEMA PÚBLICO,INMIGRACIÓN,DESCONTENTO SOCIAL ,IDEOLOGÍA NO PEYORATIVA,NOSTALGIA,PROGRESO,DEMOCRACIA
aborto,historia,colegios,delincuencia,feminismo,antecedentes,casas,libre,cantantes,crédito,contrato,infancia,ambiente,casas,radicales,alegría,juntos,cristiano,miserable,pública,migrantes,pueblo,centro,pasado,oportunidades,ciudadano
sanidad,nación,educación,denuncias,aborto,acusaciones,familia,libertades,deportistas,déficit,empleo,niños,terreno,familia,comunistas,pacífica,compañera,cristiana,buitres,públicos,extranjeros,pueblos,izquierda,recuperar,cambiar,ciudadana
medicina,nacional,escuelas,violación,violación,delincuencia,familias,testimonio,arte,deuda,empleos,jóvenes,eólicos,familias,radical,luchar,compañeras,cristianas,sucia,público,fronteras,desobedientes,derecha,sueños,cambio,democratización
salud,patria,carrera,violar,violar,denuncias,cocina,reforma,popular,economía,pymes,futuro,frío,pensiones,revolucionarios,compromiso,compañeros,dios,mentiras,públicas,,movilización,socialista,trayectoria,construir,democracia
médica,república,museo,delito,mujeres,lucro,hijos,desigualdad,periodistas,económico,sueldos,juventud,agua,propio,capitalismo,confianza,compañera,religiosas,fideicomiso,privatizar,,manifestaciones,progresismo,,crecer,renovar
médicos,colonia,secundaria,narco,mujer,delito,casa,libertad,prensa,economista,trabajando,joven,naturales,terreno,imperialismo,juntos,camarada,,,privado,,lucha,progresista,,crecimiento,dialogar
médico,republicana,enseñanza,abusos,desigualdad,narco,familiares,equidad,,moneda,trabajar,hijos,planeta,cocina,imperialista,conversar,camaradas,,,gratuidad,,luchar,socialistas,,mejorar,diálogo
,soberanía,universidad,discriminación,abusos,corrupción,vivienda,justicia,,paguen,trabajo,,climático,originarios,movimiento,moral,amigas,,,,,marcha,,,progreso,debatir
,federal,universidades,abuso,abuso,abusos,hogar,leyes,,plata,campesinos,,recursos,servicio,norteamericana,digna,amigos,,,,,luchando,,,proyecto,
,territorio,universitaria,droga,género,abuso,abuelo,ley,,pymes,trabajadoras,,mundo,vida,oligarquía,dignidad,vecinos,,,,,merecemos,,,propuestas,
,nacionalismo,estudiantes,violencia,diversidad,droga,abuela,derecho,,turismo,trabajadores,,naturaleza,mayores,neoliberalismo,esfuerzo,vecinas,,,,,levantamiento,,,propuestas,
,nacionalistas,desigualdad,delitos,empoderamiento,corrupto,abuelos,delitos,,pesos,desigualdad,,ambiental,seguros,neoliberalismo,esperanza,militantes,,,,,revolucionaria,,,propone,
,nacionalista,profesores,inseguridad,violaciones,privilegios,mesa,inseguridad,,pagar,trabajen,,campo,agua,neoliberal,fuerza,equipo,,,,,protestar,,,reconstrucción,
,patriótica,profesor,víctimas,trabajadora,ilegales,,legalidad,,empresario,trabajador,,contaminación,desigualdad,violentos,generosidad,ciudadanas,,,,,revolución,,,reformas,
,historia,niños,feminicidio,feminista,bienes,,cárcel,,dinero,industria,,tierras,hogar,dictadura,solidaridad,colegas,,,,,huelga,,,renovación,
,patria,alumnos,violaciones,igualdad,corruptos,,ilegalidad,,bancos,obreros,,carne,adultos,progres,ideas,comunidades,,,,,,,,cambios,
,identidad,educar,criminales,lesbianas,violaciones,,,,iva,salario,,tierra,casa,esclavitud,ilusión,comunidad,,,,,,,,avanzar,
,originario,públicas,cocaína,,narcofiscal,,,,banca,salarial,,natural,rural,franquismo,ética,,,,,,,,,construiremos,
,,educativo,asesinos,,criminales,,,,impuestos,trabajadora,,,transporte,franquistas,amor,,,,,,,,,proyectos,
,,educativa,sangre,,ilegalidad,,,,crisis,media,,,vivienda,independentistas,optimismo,,,,,,,,,políticas,
,,maestros,rateros,,ilegal,,,,desarrollo,campesinos,,,derechos,dictador,paz,,,,,,,,,demostramos,
,,escuelas,fusiles,,denuncias,,,,económicos,popular,,,viviendas,ultraderecha,verdad,,,,,,,,,resolver,
,,infancia,terror,,estafa,,,,precios,ingresos,,,jubilados,separatistas,unidad,,,,,,,,,comprometemos,
,,colegio,crimen,,criminal,,,,salario,ricos,,,propietario,populistas,apoyo,,,,,,,,,compromisos,
,,,asustados,,traidores,,,,presupuesto,obrero,,,indígenas,fascismo,transparencia,,,,,,,,,trayectoria,
,,,muertos,,narcotráfico,,,,gastos,contratos,,,cultura,populismo,orgullo,,,,,,,,,comprometo,
,,,criminal,,,,,,salarial,laborales,,,sociales,esclavistas,honestidad,,,,,,,,,construcción,
,,,terrorismo,,,,,,inversión,precariedad,,,diversidad,venezuela,respeto,,,,,,,,,transparencia,
,,,criminalización,,,,,,empresa,temporales,,,extranjeros,,servir,,,,,,,,,programas,
,,,narcotráfico,,,,,,empresas,desigualdades,,,familiar,,unidos,,,,,,,,,reforma,
,,,mafias,,,,,,precio,temporalidad,,,bienestar,,coraje,,,,,,,,,servir,
,,,guerra,,,,,,peso,paro,,,mesa,,dialogar,,,,,,,,,transformación,
,,,odio,,,,,,dólares,echar,,,hambre,,diálogo,,,,,,,,,soluciones,
,,,armas,,,,,,dineros,autónomos,,,familiares,,confiar,,,,,,,,,prohibir,
,,,armamento,,,,,,negocios,laboral,,,pan,,experiencia,,,,,,,,,prohibición,
,,,miedo,,,,,,euros,estabilidad,,,beneficios,,ejemplo,,,,,,,,,,
,,,fronteras,,,,,,multinacionales,obrero,,,bienes,,,,,,,,,,,,
,,,seguridad,,,,,,recortes,desocupación,,,discapacidad,,,,,,,,,,,,
,,,defensa,,,,,,privatizar,sindicatos,,,edificios,,,,,,,,,,,,
,,,desaparecer,,,,,,económica,sindicales,,,inclusión,,,,,,,,,,,,
,,,peligro,,,,,,inflación,producción,,,pensionados,,,,,,,,,,,,
,,,emergencia,,,,,,fondos,clase,,,subsidiado,,,,,,,,,,,,
,,,,,,,,,pobreza,esclavos,,,carne,,,,,,,,,,,,
,,,,,,,,,riqueza,,,,obras,,,,,,,,,,,,
,,,,,,,,,austeridad,,,,abuelo,,,,,,,,,,,,
,,,,,,,,,bolsillos,,,,infancia,,,,,,,,,,,,
,,,,,,,,,pobres,,,,carro,,,,,,,,,,,,
,,,,,,,,,petróleo,,,,viejos,,,,,,,,,,,,
,,,,,,,,,carbón,,,,abuela,,,,,,,,,,,,
,,,,,,,,,riquezas,,,,cloacas,,,,,,,,,,,,
,,,,,,,,,medios,,,,pensionistas,,,,,,,,,,,,
,,,,,,,,,negocios,,,,abuelas,,,,,,,,,,,,
,,,,,,,,,multinacionales,,,,igualdad,,,,,,,,,,,,
,,,,,,,,,poder,,,,alquiler,,,,,,,,,,,,
,,,,,,,,,,,,,abuelos,,,,,,,,,,,,
,,,,,,,,,,,,,discapacitada,,,,,,,,,,,,
,,,,,,,,,,,,,jubilaciones,,,,,,,,,,,,
,,,,,,,,,,,,,infraestructura,,,,,,,,,,,,
,,,,,,,,,,,,,garantizar,,,,,,,,,,,,
